FID,Name,Address,City,State,ZipCode1,ZipCode2,Suite,geom
Food_Establishments_Health.38,BRYANT WOODS ELEMENTARY SCHOOL,5450 BLUE HERON LN,COLUMBIA,MD,21044,,,POINT (1349955.2957432088 566105.4446768109)
Food_Establishments_Health.39,CENTENNIAL HIGH SCHOOL,4300 CENTENNIAL LN,Ellicott City,MD,21042,,,POINT (1349521.8602953467 577681.1855743758)
Food_Establishments_Health.40,CENTENNIAL LANE ELEM. SCHOOL,3825 CENTENNIAL LN,ELLICOTT CITY,MD,21042,,,POINT (1351523.9750143376 582579.5036640919)
Food_Establishments_Health.41,CLARKSVILLE ELEMENTARY SCHOOL,12041 CLARKSVILLE PK,CLARKSVILLE,MD,21029,,,POINT (1332420.3295996143 565228.3305395772)
Food_Establishments_Health.42,CLARKSVILLE MIDDLE SCHOOL,6535 SOUTH TROTTER RD,CLARKSVILLE,MD,21029,,,POINT (1334029.3965086935 554984.2110382129)
Food_Establishments_Health.43,CLEMENS CROSSING ELEMENTARY SCHOOL,10320 QUARTERSTAFF RD,COLUMBIA,MD,21044,,,POINT (1348282.1354086862 556326.6610040088)
Food_Establishments_Health.44,DUNLOGGIN MIDDLE SCHOOL,9129 NORTHFIELD RD,ELLICOTT CITY,MD,21042,,,POINT (1359907.6291935816 579026.2695165599)
Food_Establishments_Health.45,ELKRIDGE ELEMENTARY SCHOOL,7075 MONTGOMERY RD,ELKRIDGE,MD,21075,,,POINT (1389141.2551328521 563519.7578558368)
Food_Establishments_Health.46,ELLICOTT MILLS MIDDLE SCHOOL,4445 MONTGOMERY RD,ELLICOTT CITY,MD,21043,,,POINT (1365970.4575108762 576711.2969354728)
Food_Establishments_Health.47,GLENELG HIGH SCHOOL,14025 BURNTWOODS RD,GLENELG,MD,21737,,,POINT (1311751.2242182367 585890.1193198767)
